Time,WorkingSetBytes,PrivateBytes
2025-11-14T23:37:05.4975564+05:30,16384,2646016
2025-11-14T23:37:06.5233719+05:30,16384,2646016
2025-11-14T23:37:07.5424558+05:30,16384,2646016
2025-11-14T23:37:08.5559926+05:30,16384,2646016
2025-11-14T23:37:09.5683074+05:30,16384,2646016
2025-11-14T23:37:10.5822091+05:30,16384,2646016
2025-11-14T23:37:11.6053856+05:30,16384,2646016
2025-11-14T23:37:12.6264016+05:30,16384,2646016
2025-11-14T23:37:13.6442450+05:30,16384,2646016
2025-11-14T23:37:14.6654119+05:30,16384,2646016
2025-11-14T23:37:15.6881602+05:30,16384,2646016
2025-11-14T23:37:16.7135894+05:30,16384,2646016
2025-11-14T23:37:17.7250799+05:30,16384,2646016
2025-11-14T23:37:18.7428492+05:30,16384,2646016
2025-11-14T23:37:19.7587695+05:30,16384,2646016
2025-11-14T23:37:20.7735041+05:30,16384,2646016
2025-11-14T23:37:21.7869761+05:30,16384,2646016
2025-11-14T23:37:22.8430444+05:30,16384,2646016
2025-11-14T23:37:23.8568703+05:30,16384,2646016
2025-11-14T23:37:24.8692531+05:30,16384,2646016
2025-11-14T23:37:25.8805546+05:30,16384,2646016
